a,неопределенныйартикль
intercourse,общение
interdependent,взаимозависимый
interest,интересовать/заинтересовывать
interested,заинтересованный/интересующийся(отinterest)
interesting,интересный
interface,Интерфейс
interfere,мешать
interference,вмешательство
interfering,Вмешательство-ing
interior,внутренний(неinternal)
intermediate,Промежуточноезвено
internal,внутренний
international,международный
interposed,Вставленный
interpret,интерпретировать/переводить(устно)i-
interrupt,прерывать/мешать
interruption,прерывание
interval,антракт/промежуток
intervals,Интервалы
intervention,посредничество
interview,встреча/беседа
intimate,глубокий/интимный
intimidate,пугать/запугивать
into,в
intolerable,невыносимый/нестерпимый
intricate,запутанный(неentangled)
intrigue,интрига
introduce,предстaвлять/знакомить
introduction,введение
intrude,вторгаться/вмешиваться/навязываться
invade,вторгаться
invader,захватчик
invalid,недействительный(неIllegal)
invaluable,неоценимый
invariably,неизменно
invent,изобретать/изобрести
invention,выдумка/изобретательность
inventor,изобретатель
inventory,опись
invest,вкладывать/помещать(капитал)
investigate,исследовать
investigation,исследование
investigator,исследователь
invisible,невидимый
invitation,приглашение
invitations,приглашения(отinvitation)
invite,приглашать
invited,пригласил/приглашенный(отinvite)
involuntary,невольный
involve,втягивать/вовлекать
involved,сложный
inward,внутрь
irene,Ирэн
iron,железо/утюг
ironic,иронический
ironical,иронический
irregular,неправильный
irresistible,непреодолимый
irresolute,нерешительный
irresponsibility,безответственность
irritation,раздражение
is,есть(отbe)
isabella,Изабелла
island,остров
isle,остров(ок)
iso,Международнаяорганизацияпостандартизации
isobel,Исобел
isolation,изоляция
issue,выпуск/издание/выпускать
issued,Выпущенный
issues,Проблемы(выпуски)
it,это/он/она(дляпредметовиживотных)
italian,Итальянец
italy,Италия
item,вещь/предмет
its,его/ее(отit)
itself,себя/себе
ivan,Иван
ivory,слоноваякость
ivy,плющ
jack,домкрат
jackal,шакал
jacket,куртка
jackson,Джэксон
jail,тюрьма
jake,Джейк
jam,варенье/джем
james,Джеймс
jan,Январь
January,январь
jar,ссора
jaw,челюсть
jaws,Челюсти
jazz,джаз
jealous,ревнивый
jealousy,ревность
jean,Хлопчатобумажнаяткань
jeanne,Джин
jeans,джинсы
jeer,насмешка*e-
jeff,Джеф
jelly,желе
jenny,Дженни
jerk,резкийтолчок/подергивание;резкотолкать/дергать
jersey,джемпер(-.....s....-)
jerusalem,Иерусалим
jessamy,Джессами
jessie,Джесси
jest,шутка;шутить/высмеивать(неjoke)
jet,струя(воды/пара/газа)
jew,Еврей
jewel,драгоценность
jeweller,ювелир
jewellery,ювелирныеизделия
jewels,драгоценности
jill,Джилл
jim,Джим
jo,Джо
joan,Джоан
job,работа
jobs,работы(отjob)
joe,кофе!
join,соединяться
joining,соединение
joint,совместный/объединенный(j-)
joke,шутка/шутить
joking,шутка/шутящий(отjoke)
jolly,очень/веселый
jonas,Джонас
joseph,Джозеф
josephine,Джозефина
josie,Джоси
journal,журналj-
journey,путешествие
joy,радость
joyful,радостный/довольный
joyfully,Радостно*o-
judge,судья
judged,Оцененный*u-(неvalued)
judgement,приговор/суждение
judgment,Суждение
jug,кувшин
juice,сок
juicy,сочный/дождливый
July,июль
jumble,толкаться
jump,прыгать
jumped,прыгал(а)(отjump)
jumper,джемпер
June,июнь
jungle,джунгли
junior,младший
junk,рухлядь!
jury,присяжные/жюри
just,только/всеголишь/справедливый
justice,справедливость
justin,Джастин
justly,справедливо
juvenile,юноша/подросток*u-
kalgan,Калган
kate,Кейт
kazan,Казань
keel,киль
keen,страстный
keep,(со)держать/сохранять
keeper,хранитель/смотритель/сторож
keeping,хранение/содержание/согласие(k...ing)
kennel,(собачья)конура/собачийпитомник
kenneth,Кеннет
kept,заставил(отkeep)
kerb,обочина
kernel,ядро/зерно
kettle,чайник
key,ключ
keyhole,замочнаяскважина
kick,пинать/пнуть
kid,ребенок(разг.)/обманывать(сленг.)
kidding,шутящий/высмеивающий(отkid)
kidnap,похищать(человека)
kidney,почка(анатом.)
kids,дети(отkid)
kill,убивать
killed,убил(отkill)
killing,убийственный(-ing)
kind,добрый/вид/род
kindly,добрый/добродушный/ласково/любезно
kindness,доброта/любезность(k-)
king,король
kingdom,королевство
kings,Короли
kiss,целовать
kit,ранец/багаж
kitchen,кухня
kitten,котенок
kitty,цель(вигревкегли)
knee,колено
knees,колени!
knelt,стоялнаколенях!
knew,знал(отknow)
knife,нож
knight,рыцарь
knights,Рыцари
knit,вязать/связывать
knitted,вязанный/трикотажный
knob,knob,НЕВЫУЧЕННОЕСЛОВО
knock,стучать/стук
knocked,стучать(2форма)*n-!
knot,узел/завязыватьузел(неkink)
know,знать
knowing,знание/знающий
knowledge,знание
konrad,Конрад
la,Ла
label,этикетка/приклеиватьярлык
labor,Рабочаясила
laboratory,лаборатория
labour,труд/трудиться
labourer,рабочий
lace,кружево/шнурок
lack,недостаток
lad,мальчик/юноша/парень(неguy)
ladder,лестница(неstairs)
laden,Груженый/нагруженный/обремененный
ladies,дамы(отlady)
lads,парни(неguys)!
lady,дама/госпожа
laid,происходил/совершался(отlay)
lake,озеро
lamb,ягненок/баранина
lame,хромой
lament,сетование/жалоба(l-)
lamp,лампа
land,земля/суша/приземляться/высаживатьсянаберег
landed,земельный
landing,высадканаберег-ing
landlady,хозяйка(дома/гостиницы)(неmistress)
landlord,домовладелец
landscape,ландшафт/пейзаж
landslide,оползень/обвал(неavalanche)
lane,дорожка(неroad)
language,язык
lantern,фонарь
lap,подол
lapse,описка
lard,топленоесвиноесало
large,большой
largely,обильно*a-
larger,Больший
largest,Самыйбольшой
lark,жаворонок
larva,личинка/головастик
lash,хлестать/ударять;плеть
last,прошлый/последний/продолжаться/длиться
lastly,Наконец
latch,запирать(ся)
late,поздно
lately,запоследнеевремя
later,позже
lateral,Боковой*a-
latest,последний(неlatter)
latter,последний
laugh,смех/смеяться
laughed,смеялся/хохотал(отlaugh)
laughing,смех/смеющийся
laughter,смех/хохот
launch,начинать
launching,спуск(наводу)/начало-ing
laundry,прачечная/стирка
laurie,Лаури
lavish,щедрый/обильный
law,закон/право
lawn,лужайка
laws,Законы
lawyer,адвокат/юрист
lay,класть/положить
laying,Наложение-ing
laziness,лень
lazy,ленивый
lead,вести/руководить
leader,глава/лидер
leadership,руководство
leading,лидирование/руководящий
leads,Лидерство
leaf,лист
leaflet,Рекламныйлисток
leaflets,Рекламныелистки
league,союз/лига
leak,просачиваться
lean,прислоняться/наклоняться/наклон
leap,високосный/прыжок/прыгать
leaped,Прыгал(неsprang/jumped/hopped)
leapt,прыгал!
learn,узнать/учиться
learned,ученый
learning,учение
learnt,узнал/выученный(отlearn)
lease,аренда/сдаватьваренду
leash,поводок/цепь(неstrap)
least,наименьший/менеевсего
leather,кожа/кожаный
leave,оставлять/покидать/уезжать
leaving,уезжающий(отleave)
lecture,лекция
ledge,выступ/крайl-
lee,Защита
left,покинутый/оставленный(отleave)
leg,нога
legacy,наследство
legal,законный
legally,законно
legend,легенда
legitimate,обоснованный
leisure,досуг
leisurely,неспеша
lemon,лимон
lemonade,лимонад
lend,датьвдолг
length,длина
lens,линза
lent,одолжил/далвдолг(отlend)
less,менее/вменьшейстепени(отlittle)
lessen,уменьшатьl-
lesson,урок
let,позволять/давать/разрешать
letter,письмо
letters,письма(отletter)
letting,Разрешение-ing
lettuce,салат
level,уровень
lever,рычаг
liable,подлежащий/обязанный/ответственный
liar,лгун
liberal,либеральный/щедрый;либерал
liberty,свобода
librarian,библиотекарь
libraries,Библиотеки
library,библиотека
licence,лицензия/разрешение(*****c*)
license,даватьразрешение
lick,лизать
lid,крышка
lie,ложь/лгать/лежать
life,жизнь
lifeboat,спасательнаялодка
lift,поднимать/подъемник/лифт
light,свет/освещение/фара/освещать/зажигать
lighter,зажигалка
lighthouse,маяк
lighting,освещение
lightly,слегка!
lightning,молния
lights,фары(отlight)
like,любить/нравиться/похожий/подобный
liked,нравился/любил(отlike)
likelihood,вероятность
likely,вероятно
likeness,сходствоl-
likewise,также!
lilac,сирень/сиреневый
lily,лилия
limb,конечность(анат.)
limbs,конечности!
lime,известь
limit,предел/граница
limitation,ограничение
limited,ограниченный
limits,Пределы
limp,хромота/прихрамывать
line,линия/специальность
lined,Выровненный
linen,белье
linger,медлить/задерживаться
lining,подкладка
link,соединять/соединить(link)
lion,лев
lip,губа
liquid,жидкость
liquor,крепкийспиртнойнапиток
list,список
listen,слушать
listened,слушал(отlisten)
listener,слушатель
lit,освещённый!
literal,буквальный
literary,литературный
literature,литература
litter,мусор/сорить
little,мало/маленький
live,жить
lived,жил/живший(отlive)
lively,живой/оживленный
liver,печень
living,средстваксуществованию/жизнь
lizard,ящерица
lizzie,Автомобильчик
load,нагрузка/нагружать
loaded,загруженный
loaf,безделье
loan,заём/ссуда
lobby,вестибюль
lobes,Лепестки
lobster,омар
local,местный
locate,определятьместоположение!
located,Расположенный
location,местоположение
locations,Местоположения
lock,замок/запиратьназамок
locked,запертыйl-
locking,Захват-ing
locks,Замки
locksmith,слесарь
lodge,разместить
lodging,квартира/жилье
loft,сеновал/чердак
lofty,высокий/возвышенный
log,бревно
logic,логика
login,Логин
logs,Бревна
loneliness,одиночество!
lonely,одинокий
long,длинный/долгий/долго
longer,длиннее(отlong)
look,смотреть/выглядеть/взгляд/внешность
looking,смотрящий(отlook)-ing
looks,выглядит(отlike)
loom,приниматьразмеры
loop,петля
loose,свободный
loosen,развязывать/распускать/ослаблять
loot,ограбление
lord,лорд
lorry,грузовик(неtruck)
los,Лос
lose,терять/проигрывать
losing,проигрыш/проигранный
loss,потеря/утрата
lost,потерял/проиграл/потерянный/проигранный(отlose)
lot,много
lots,уйма/куча/множество(неpile)!
loud,громкий
louder,громче
loudly,громко
louisa,Луиза
louise,Луиза
love,любовь/любить
loved,любил(отlove)
lovely,прекрасный/восхитительныйl-
lover,любитель/возлюбленный
lovers,Любители(возлюбленные)
loving,любящий
low,низкий
lower,нижний/снижать/опускать
lowered,Пониженный
loyal,верный/лояльный
loyalty,верность
lucidly,понятно/ясно*u-
lucius,Лусиус
luck,удача/везение
luckily,ксчастью
lucky,счастливый/удачный
lucy,Люси
luggage,багаж
luke,Лук
lumber,лесоматериалы*u-
lump,глыба/ком
lunch,второйзавтрак/обед
luncheon,обед/лёгкаязакуска
lustre,блеск/лоск/глянец/люстра
luxurious,роскошный
luxury,роскошь
lydia,Лидия
machine,машина
machinery,машины/механизмы
mad,обезумевший
madam,госпожа
madame,Мадам
made,делал/сделанный(отmake)
madeira,Мадейра
madly,безумно!
magazine,журнал
magazines,журналы(отmagazine)
magic,волшебныйm-
magician,волшебник
magnificent,великолепныйm-
maid,горничная
mail,почта/отправлять(попочте)
main,главный
mainland,материк
mainly,главнымобразом
maintain,поддерживать
maintained,Обслуженный(поддержанный)
maintenance,поддержание
majesty,величественность/величество(титул)
major,специализироваться/главныйm-
majority,большинство
make,делать/производить
maker,производитель(m-)
makes,делает(отmake)
making,создание/становление(процесс)!
male,мужчина/самец
malice,злоба
malicious,злобный
malignant,злобный/злостный/злокачественный(****g)
mallet,деревянныймолоток
mallow,Просвирник
mama,Мама
mamma,Мама
man,мужчина/человек
manage,справляться/ухитряться/управлять
management,управление
manager,управляющий
manages,ухитряется(отmanage)
mane,грива
mania,мания
manifest,явный/проявлять(ся)m-
manipulate,манипулировать
manipulation,Манипуляция
mankind,человечество
manner,способ/образдействия/манера
manners,способы(неmethods)!
manoeuvre,маневр/маневрировать
mansfield,Мансфилд
mansion,дворец
mantle,покрывать/окутывать
manual,ручной
manufacture,производство/производитьm-
manure,удобрение
manuscript,рукопись
many,много(сисчисляемымисуществительными)
map,карта
marble,мрамор
march,маршировать
marched,Прошел
marco,Марко
margaret,Маргарет
margarita,Маргарита
margin,минимум/нижняягрань/предел
maria,Мария
marianne,Мэрианн
marine,морскойфлот/морской
mariner,моряк
mark,норма/состояние/оценка/отметка
market,рынок
marks,оценки(отmark)
marmot,сурок
marquis,Маркиз
marriage,свадьба
married,женатый/замужняя
marry,жениться/выходитьзамуж
marrying,Бракосочетание-ing
marsh,болотоm-
martial,военный
marvel,удивляться/поражатьсяm-
marvellous,удивительный/замечательныйm-
mask,маска
mason,каменщик
masquerade,маскарад/маскироваться
mass,масса/множество
masses,Массы
massive,массивный
mast,мачта
master,хозяин(неhoster)
masterpiece,шедевр
mat,коврик(неrug)
match,спичка/матч
matches,Сделки/спички
mate,товарищ
material,материал
materials,Материалы
mathematical,математический
maths,математика
matter,дело/сущность/материал
matters,дела/материалы(отmatter)
mattress,матрац
mature,зрелый/созреть
maturity,зрелость
maud,Дорожныйплед
maxim,принцип
maximum,Максимум
May,май
maybe,мoжетбыть
mayor,мэр
me,мне/меня
meadow,луг
meal,еда/есть/приниматьпищу(неfood)
meals,еда(отmeal)
mean,означать
meaning,значение
meaningless,бессмысленный
means,средство/способ
meant,означаемый/подразумеваемый!
meantime,междутем
meanwhile,темвременем/междутем
measles,корь
measure,мера
measured,Измеренный
measures,Меры
measuring,измерения(отmeasure)
meat,мясо/мясной
mechanic,механик
mechanical,механический
mechanics,механика
mechanism,устройство
medal,медаль
meddle,вмешиваться
medical,медицинский
medicine,медицина/лекарство
medieval,средневековый
meditate,размышлять/обдумывать
medium,средство/середина
meek,кроткий
meet,встречать(ся)/знакомиться
meeting,встреча
meg,Мэг
melancholy,Меланхолия
melon,дыня
melt,таять
member,член
members,члены(отmember)
memorable,памятный
memorandum,памятнаязаписка
memory,память
men,мужчины(отman)
menace,опасность(неdanger)
mend,чинить/ремонтировать
mended,починил/починенный(отmend)
mental,умственный
mentally,умственно
mention,благодарность/упоминать
mentioned,упомянул(отmention)
menu,меню
merchandise,торговля
merchant,торговец(неsalesman)
merciful,милосердный(неgracious)
mercury,ртуть
mercy,милость
mere,простой
merely,единственно
merge,Слиться
merit,достоинство
merry,веселый/радостныйm-
mess,беспорядок/путаница
message,сообщение/поручение
messenger,посыльный/курьер
met,встречались/встреченный(отmeet)
metal,металл/металлический
meter,счетчик
method,метод
metropolitan,столичный
mexican,Мексиканец
mice,мыши
microphone,микрофон
microscope,микроскоп
mid,средний
midday,полдень
middle,средний
midnight,полночь
midst,середина
might,можно/возможно(отmay)
mighty,могущественный
mild,мягкий(неsoft)
mildred,Милдред
mile,миля
miles,мили(отmile)
military,военный
milk,молоко
mill,фабрика/завод/мельница
millet,просо/пшено
million,миллион
millions,Миллионы
mind,память/мнение/помнить/возражать
minded,Склонный
minds,ум!
mine,мой(употребляетсябезпоследующегосуществительного)
mineral,минeральный
mingled,Смешанный
miniaturization,Миниатюризация
minims,Мельчайшаячастица/оченьмаленькаядоля/капля
minimum,минимум
mining,горный-ing
minister,министр
ministry,министерство
minor,младший/незначительный/второстепенный
minority,меньшинство
mint,мята
minus,минус
minute,минута
minutes,минуты(отminute)
miracle,чудо
mirror,зеркало
mirth,веселье/радость
miscellaneous,смешанный/разнообразныйm-
mischief,зло/беда
mischievous,злонамеренный/злобный/шаловливый/озорной
miserable,несчастный
misery,страдания/нищета
misfortune,несчастье(m-)
mishap,неудача(неunluck)
mislead,вводитьвзаблуждение
miss,промах/промахнуться/пропустить/скучать
missing,недостающий/отсутствующий/пропавший(безвести)
mission,миссия
missionary,миссионер
mist,дымка
mistake,ошибка
mistaken,ошибочный(отmistake)
mistress,хозяйка/госпожа
misty,туманныйmi-
mix,смешивать/мешать
mixture,микстура
mm,Мм
moan,оплакивать/стонать
moaning,Стенание-ing
mob,толпа/сборище
mobile,подвижный
mock,насмехаться(неjeer)
mockery,издевательство
mode,способ
model,модель
moderate,умеренный
moderately,Умеренно
modern,современный
modest,скромныйm-
modification,Модификация
modified,видоизменённый!
modify,модифицировать
module,Модуль
moist,сырой/влажныйm-
moisture,влажность(неhumidity)
mole,крот
molly,Молли
moment,момент/миг
momentary,Мгновенный
momentum,импульс
monarch,монарх
Monday,понедельник
money,деньги
monkey,обезьяна
monks,Монахи
monotonous,однообразный/монотонный
monsieur,Господин
monster,чудовище
monsters,Монстры
monstrous,чудовищный
month,месяц
monthly,(еже)месячный/ежемесячно
months,месяцы(отmonth)
monument,памятник(неmemorial)
monuments,памятники(отmonument)
mood,настроение
moon,луна
moonlight,лунныйсвет!
mop,швабра/подтирать
moral,нравственный
more,еще/больше
moreover,крометого
morning,утро
morrow,завтра/завтрашнийдень;следующийдень!
morsel,кусочек-l
mortal,смертный/смертельный(неlethal)
mortgage,заклад/залог
mortimer,Мортимер
morton,Мортон
Moscow,Москва
mosquito,комар
moss,мох
mossy,мшистый
most,самый/весьма
mostly,главнымобразом(неmainly)
motel,мотель/гостиница
moth,моль/мотылек
mother,мама
motion,движение
motionless,неподвижный
motive,повод/мотив
motives,Поводы
motley,разноцветный/пестрый
motor,мотор
mould,плесень;плесенныйгрибок
mound,насыпь/холмик
mount,взбиратьсяm-
mountain,гора
mourn,сетовать
mournful,грустный
mourning,траур
mouse,мышь
moustache,усы
mouth,рот
move,двигать(ся)/переезжать
movement,движение
movements,Движения
movie,кино/фильм
movies,кино/фильмы(отmovie)
moving,трогательный
mow,косить
ms,Госпожа
much,много(снеисчисляемымисуществительными)
mud,грязь
muddy,грязный/мутный
muffled,закутанный/укутанный/завёрнутый(неwrapped)!
muffler,шарф
mug,кружка
muggy,теплый/влажный/удушливый
mulberry,Тутовоедерево
mule,мул/тупица/гибрид/туфлябеззадников
multi,Много
multiple,многократный-e
multitude,множество
mumble,бормотаниеm-
mummy,Мумия
munch,чавкать
mural,стеннаяживопись/фреска
murder,убийство
murderer,убийца
murmur,шорох/шепотm-
muscle,мышца
muscles,Мускулы
muscular,мускулистый
museum,музей
music,музыка
musical,музыкальный/мюзикл
musician,музыкант
must,должен/надо
mute,немой(неdumb)
mutiny,мятеж/поднятьмятеж
mutter,бормотать
muttered,Бормотал
muttering,Бормотание-ing
mutton,баранина
mutual,взаимный/общий(неcommon)
muzzle,морда/намордник/дуло
my,мой/моя/мое/мои
myrtle,Мирт
myself,себя/менясамого/себе/сам
mysterious,таинственный
mystery,тайна
myth,миф
nab,курок
nail,ноготь/гвоздь
nails,ногти(отnail)
naive,наивный
naked,обнаженный/голый
name,имя/фамилия/называть
namely,аименно
nan,Нэн
nancy,Нэнси
napkin,салфетка/пеленка
napoleon,Наполеон
narrative,повествование/рассказ
narrow,узкий
nasty,скверный/плохой
nat,Нат
nation,нация/народ
national,национальный
nations,Нации
native,родной
natives,Аборигены
natural,естественный
naturalist,Натуралист
naturalists,Натуралисты
naturally,естественно
nature,природа
naughty,непослушный
navigation,судоходство/плавание/навигация
navy,военныйфлот
nay,болеетого/даже;отрицательныйответ;отказ;
near,близкоот/около
nearby,поблизости(nearby)
nearest,ближайший(отnear)
nearly,почти/приблизительно(неalmost)
neat,чистый/опрятныйn-
neatly,аккуратно!
necessarily,обязательно
necessary,нужный/необходимый
necessity,необходимость
neck,шея
necklace,ожерелье
ned,Нед
need,нуждатьсяв/надо/нужда/потребность
needle,игла
needlework,шитье
negative,отрицательный/отрицание/негатив
neglect,пренебрегать
neglected,Пренебрег
negligence,небрежность
negotiate,договариваться
neighbour,сосед
neighbourhood,соседство
neighbouring,соседний
neither,такжене
nell,Нелл
nephew,племянник
nerve,нерв
nerves,нервы(отnerve)
nervous,нервный
nest,гнездо
net,сеть
network,сеть
neutral,нейтральный
never,никогда
nevertheless,темнеменее
neville,Невилл
new,новый
newcomer,новичок(неbeginner)
newly,вновь(неagain)
news,новости/известия
newsletter,новости
newspaper,газета
newspapers,газеты(отnewspaper)
next,следующий/соседний/затем/потом
nice,хороший/чудесный/приятный
nicely,хорошо
nicer,лучше(отnice)
nicest,самыйвкусный(отnice)
niche,ниша
nicholas,Николас
nick,Зарубка
nickel,никл(монетав5центов)
nickname,прозвище
niece,племянница
nieces,Племянницы
night,ночь
nightingale,соловей
nightmare,кошмар
nights,ночи(отnight)
nine,девять
nineteen,девятнадцать
nineteenth,девятнадцатый
ninety,девяносто
ninth,девятый
nip,укус/щипать/пересечь
no,нет/никакой
noble,благородный/знатный
nobleman,дворянин
nobles,Знать(знатныелюди)
nobody,никто
nod,киватьголовой/кивок
nodding,Кивающий
node,Узел(неknot)
noise,шум
noiseless,бесшумный
noises,Шумы
noisy,шумный
non,не
none,нисколько/совсемне/вовсене
nonsense,чепуха/ерунда
noon,полдень
nor,ине/такжене
normal,нормальный
normally,обычноn-
normandy,Нормандия
norris,Норрис
North,север
northern,северный
nose,нос
nostril,ноздря
nostrils,Ноздри
not,не
notable,заметный
notably,исключительно
note,запись/записка/банкнота/записывать
notebook,тетрадь(n-)
nothing,ничто/ничего
notice,извещение/сообщение/замечать/обращатьвнимание
notify,извещать/уведомлять(неinform)
notion,понятие
notions,Понятия
notorious,известный/отъявленный
notwithstanding,несмотряна/темнеменее/однако
nourishing,питательный(-ing)
nourishment,питание/пища
novel,роман
novelty,новизна/новинка
November,ноябрь
now,сейчас
nowadays,внашевремя
nowhere,нигде/никуда
nuisance,досада
null,Пустойуказатель
nulls,Пустыеуказатели
numb,онемелый/оцепенелый(неdumb/)
number,номер
numbers,Номера(числа)
numerals,числительные(отnumeral)
numeric,Числовой
numerous,многочисленный
nurse,няня(неnanny)
nursery,детский/ясли
nut,орех
nuts,орехи(отnut)
nylon,нейлон/нейлоновый
oak,дуб
oar,весло
oars,вёсла!
oath,клятва/присяга
obedience,послушание
obedient,послушный
obey,подчиняться/слушаться
object,возражать/предмет
objected,Возразил(неretorted)
objection,возражение/протест
objections,возражения(отobjection)
objective,цель/стремление(-ve)
objects,Объекты(цели)
obligation,обязательство
oblige,обязывать
obliged,обязан/признателен(отoblige)
obscure,затемнять/затруднятьпонимание
observation,наблюдение/замечание
observe,наблюдать/замечать(неoutlook)
observed,наблюдаемый!
observer,наблюдатель
obstacle,препятствие
obtain,добиваться
obtained,Полученный*b-
obvious,очевидныйo-
obviously,очевидноo-
occasion,случай/обстоятельство
occasional,случайный
occasionally,изредка
occasioned,Причиняемый
occupation,занятие
occupied,занятый!
occupy,занимать/завоёвывать
occur,случаться
occurrence,Возникновение
occurs,Происходит
ocean,океан
octavian,Октавиан
October,октябрь
odd,странный
odds,разница/неравенство
odour,запах/ароматo-
of,предлогродительногопадежа(кого?/чего?)
off,прочь/от
offence,обида
offend,обижать/обидеть(o-)
offended,обиженный!
offensive,наступление
offer,предлагать
offering,предложение
office,офис/контора
officer,служащий/офицер
official,официальный/чиновник
officially,официально
offset,смещенный
offspring,Потомство
often,часто
oh,O!
oil,масло
OK,всевпорядке
old,старый
oldest,старший/самыйстарый
olive,олива/маслина;оливковогоцвета
omelette,омлет
ominous,зловещий
omit,опускать/пропускать/упускать
on,на/вперед/дальше
once,одинраз/однажды
oneself,(самого)себяo-
onion,лук
only,только/единственный
onto,на(неupon)
onward,вперед/далее/продвигающийсявперед
open,открывать
opened,открыл/открытый(отopen)
opening,начало/открытие
openly,открыто
opera,опера
operate,действовать
operating,управляющий-ing
operation,действие/операция
operative,действующийo-ve
operator,оператор
opinion,мнение
opponent,соперник
opportunity,возможность
opposed,Противопоставленный
opposite,противоположный
opposition,противодействие
oppressive,гнетущий/деспотический
opt,выбирать
option,выбор(o-)
optional,Дополнительный
options,Выбора
or,или
orange,апельсин/оранжевый
oranges,апельсины(отorange)
orchard,фруктовыйсад
orchestra,партер/оркестр
order,порядок/приказ/заказ/заказывать/приказывать
ordered,приказал(отorder)
orderly,аккуратный
ordinal,порядковый
ordinarily,обыкновенным/обычнымпутем;обычно;нормально;вобычнойстепени
ordinary,обычный/простой
organ,орган
organic,органический
organization,организация
organize,организовывать
organized,организовывал(отorganize)
organizer,организатор
organs,Органы
oriental,восточный
origin,происхождение
original,оригинал/первоначальный
originally,первоначально
originate,возникать/происходить/даватьначало/порождать;создавать
ornament,украшение/орнамент;украшать
orphan,сирота/сиротский
ostrich,страус
other,другой
otherwise,иначе
ought,долженствование
our,наш
ours,наш
ourselves,себя/себе/сами
out,вне/вон/из/снаружи/наружный
outbreak,взрыв/вспышка/начало(войныит.п.)
outcome,результат
outcry,крик/протест
outdoor,наоткрытомвоздухе
outer,внешний
outfit,снаряжение/обмундирование/оборудование
outlaw,человеквнезакона/изгнанник
outlet,выход/выходноеотверстие
outline,контур/конспект/план/схема;краткоесодержание
output,выпуск/продукция
outrage,нарушениезакона/насилие/оскорблять
outright,открыто/прямо;безутайки(неstraight/directly)
outside,снаружи/наружный
outskirts,окраина(города)/опушка(леса)
outstanding,выдающийся*u-
outward,внешний/наружный(неoutside)
outwit,перехитрить
oven,печь
over,через/над/сверх
overall,всеобщийo-
overcoat,пальто
overcome,преодолеть
overflow,переливатьсячерезкрай/заливать/переполнять
overhead,наверху/надголовой/верхний
overhear,подслушивать
overjoyed,внесебяотрадости/оченьдовольный
overload,перегружать
overlook,надзирать
override,наехать/переехать;задавитьОтвергнуть
overthrow,свергать
overtime,сверхурочные
overturn,опрокидывать(ся)/ниспровергать
overwhelm,засыпать/забрасывать(вопросами)/сокрушать
overwhelming,несметный
owe,бытьдолжным
owen,Оуэн
owing,должный
owl,сова
own,иметь/владеть/свой/собственный
owner,владелец
owners,Владельцы
ownership,собственность
ox,бык
oxbow,ярмо
oxygen,кислород
oyster,устрица
oysters,устрицы(отoyster)
oz,Унция
pace,шагать
pacific,мирный
pack,упаковывать/упаковать
package,пакет
packet,пакет(неbundle)
pad,мягкаяпрокладка/подушка;подбивать(ватойит.п.)
paddle,короткоевесло/грестиоднимвеслом;шлепатьповоде
padlock,висячийзамок
page,страница
paid,платил/оплаченный(отpay)
pail,ведро
pain,боль/страдание
painful,причиняющийболь/мучительный
pains,боли/страдания(отpain)
paint,красить/краска
painter,художник
painting,живопись
pair,пара
pairs,Пары
pal,приятель/товарищ/дружок
palace,дворец
pale,бледный
palm,ладонь
pamphlet,брошюра/памфлет
pan,сковорода
pane,оконноестекло
panel,комиссия
pang,остраяболь
panic,паника
pant,задыхаться(неgasp)
pantomime,Пантомима
pantry,кладовая/чулан(неcloset)
paper,бумага/газета
parade,парад
paragraph,параграф
parallel,параллельный
parameter,Параметр
parameters,Параметры
parcel,пакет*a-
parchment,Пергамент
pardon,извинение
parent,родитель/родственник
parents,родители(отparent)
park,парк/(при)парковать(ся)
parked,Припаркованный
parking,стоянка
parliament,парламент
parlor,Комната
parlour,кабинетp-
parrot,попугай
parrots,Попугаи
parsley,петрушка(бот.)
part,часть/доля/роль/делить/расставаться/расходиться
parted,Разделенный
partial,частичный
partially,Частично
participate,участвовать
particles,Частицы
particular,особый
particularly,особенно/вособенности
parties,вечеринки(отparty)
parting,прощание
partition,разделение
partly,частично
partner,участник
parts,части(отpart)
party,вечеринка/группа
pass,передавать/проходить/пропуск/перевал
passage,проход
passages,проходы!
passed,прошел(отpass)
passenger,пассажир
passengers,Пассажиры
passing,прохождение
passion,страсть
passionate,страстный
password,Пароль
passwords,Пароли
past,после/за
paste,тесто/клейстер/паста;клеить/склеивать
pasture,пастбище
pat,хлопок
patch,заплатка
path,тропинка/беговаядорожка
pathetic,трогательный
paths,Дорожки(неroads/lanes)
patience,терпение
patient,пациент/терпеливый
patiently,Терпеливо
patrol,патруль
patsy,Паци
patted,Ласкал
pattern,модель
paul,пол!
pause,пауза
pausing,Приостановка-ing
pavement,тротуар(неsidewalk)
paw,лапа
paws,Лапы
pay,платить/зарплата
paying,платеж
payment,плата
pea,горох
peace,мир
peaceable,миролюбивый/мирный
peaceful,мирный/спокойный
peacefully,мирно
peach,персик
peaches,персики(отpeach)
peacock,павлин
peak,вершина
peal,трезвон/раскатгрома
peanut,землянойорех
pear,груша
pearl,жемчуг/жемчужный
pearls,Жемчуг
pears,груши(отpear)
peas,горошек/горох
pebble,галька/горныйхрусталь
peck,клевать
peculiar,особенныйp-
peculiarities,Особенности
pedal,педаль
pedestrian,пешеход
peeks,(он)Посмотрит-s
peel,чистить/почистить
peep,проблеск/выглядывать
